"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"최종병기 활",2011-08-10,55827861500,5.2,55827861500,7470633,7470633,615,130054,"한국","(주)디씨지플러스,(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극,액션","김한민","박해일"
"써니",2011-05-04,54035565100,5,54035565100,7362657,7362657,546,149135,"한국","(주)알로하픽쳐스,(주)토일렛픽쳐스","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","강형철","유호정"
"아저씨",2010-08-04,47102707500,4.4,47102707500,6178452,6178452,501,109875,"한국","오퍼스픽쳐스(유)","CJ ENM","청소년관람불가","액션,드라마","이정범","원빈"
"의형제",2010-02-04,40153817000,3.7,40153817000,5416829,5416829,569,118250,"한국","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜","(주)쇼박스","15세이상관람가","드라마,액션","장훈","송강호"
"완득이",2011-10-20,38526500500,3.6,38526500500,5309982,5309982,629,117767,"한국","(주)유비유필름,어나더픽쳐스(주)","(주)씨제이이엔엠","12세이상관람가","드라마","이한","김윤석"
"조선명탐정 : 각시투구꽃의 비밀",2011-01-27,35841769500,3.3,35841769500,4786259,4786259,634,84189,"한국","청년필름(주)","(주)쇼박스","12세이상관람가","코미디,액션","김석윤","김명민"
"도가니",2011-09-22,35566854800,3.3,35566854800,4662822,4662822,756,88337,"한국","(주)삼거리픽쳐스,(주)판타지오","(주)씨제이이엔엠","청소년관람불가","드라마","황동혁","정유미"
"전우치",2009-12-23,26345181000,2.4,44092783000,3611486,6065369,556,73177,"한국","영화사 집","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원"
"이끼",2010-07-14,25437300500,2.4,25437300500,3350303,3350303,740,58198,"한국","(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌","CJ ENM","청소년관람불가","드라마,스릴러","강우석","정재영"
"포화속으로",2010-06-16,23831968600,2.2,23831968600,3330326,3330326,742,80093,"한국","(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,전쟁","이재한","차승원"
"퀵",2011-07-20,22960890000,2.1,22960890000,3125069,3125069,514,60714,"한국","(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","코미디,액션","조범구","이새별"
"헬로우 고스트",2010-12-22,22056966500,2,22056966500,3019780,3019780,472,57578,"한국","(주)워터앤트리","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,드라마","김영탁","차태현"
"하모니",2010-01-28,21641865000,2,21641865000,3018154,3018154,384,77732,"한국","(주)제이케이필름","CJ ENM","12세이상관람가","드라마","강대규","김윤진"
"방자전",2010-06-02,22490392000,2.1,22490392000,2985556,2985556,495,67572,"한국","(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스","CJ ENM","청소년관람불가","사극,코미디,멜로/로맨스","김대우","김주혁"
"고지전",2011-07-20,21968557600,2,21968557600,2945137,2945137,585,53738,"한국","(주)티피에스컴퍼니","(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균"
"오싹한 연애",2011-12-01,20634684500,1.9,20634684500,2823060,2823060,544,55469,"한국","상상필름(주)","(주)씨제이이엔엠","12세이상관람가","공포(호러),멜로/로맨스,코미디","황인호","손예진"
"부당거래",2010-10-28,20996302500,1.9,20996302500,2722996,2722996,502,69703,"한국","필름트레인,(주)외유내강","CJ ENM","청소년관람불가","범죄,드라마","류승완","황정민"
"시라노; 연애조작단",2010-09-16,19838443000,1.8,19838443000,2684798,2684798,415,77739,"한국","(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김현석","엄태웅"
"위험한 상견례",2011-03-31,19174920500,1.8,19174920500,2595625,2595625,524,75068,"한국","(주)전망좋은 영화사","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,멜로/로맨스","김진영","송새벽"
"라스트 갓파더",2010-12-29,18511991000,1.7,18511991000,2541603,2541603,547,46450,"한국","㈜영구아트","CJ ENM","12세이상관람가","코미디","심형래","심형래"
"의뢰인",2011-09-29,17797042500,1.6,17797042500,2393086,2393086,522,58414,"한국","청년필름(주)","(주)쇼박스","15세이상관람가","스릴러","손영성","박희순"
"가문의 영광4 - 가문의 수난",2011-09-07,17792219500,1.6,17792219500,2368267,2368267,537,48432,"한국","(주)태원엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미"
"블라인드",2011-08-10,18390012500,1.7,18390012500,2367942,2367942,404,49358,"한국","(주)문와쳐","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","안상훈","김하늘"
"하녀",2010-05-13,17038639000,1.6,17038639000,2267556,2267556,555,59621,"한국","(주)싸이더스,(주)미로비젼","(주)싸이더스","청소년관람불가","스릴러,멜로/로맨스","임상수","전도연"
"황해",2010-12-22,17497165500,1.6,17497165500,2260512,2260512,618,42102,"한국","㈜팝콘필름","(주)쇼박스,이십세기폭스코리아(주)","청소년관람불가","스릴러,액션,범죄","나홍진","김윤석"
