"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"괴물",2006-07-27,66715881300,6.5,66715881300,10917195,10917195,647,113093,"한국","영화사청어람(주)","(주)쇼박스","12세관람가","SF,가족,드라마","봉준호","송강호"
"왕의 남자",2005-12-29,61605851900,6,66015355400,9793917,10513699,313,106181,"한국","(주)씨네월드,(주)이글픽쳐스","(주)시네마서비스","15세이상관람가","드라마","이준익","감우성"
"디워",2007-08-01,49339934700,4.8,49339934700,7855441,7855441,622,96434,"한국","㈜영구아트","(주)쇼박스","12세이상관람가","액션,판타지","심형래","브룩스"
"화려한 휴가",2007-07-25,44098449600,4.3,44098449600,6855300,6855300,551,96522,"한국","기획시대(주)","CJ ENM","12세이상관람가","드라마","김지훈","김상경"
"미녀는 괴로워",2006-12-14,36292848900,3.5,36292848900,6081480,6081480,418,87141,"한국","리얼라이즈픽쳐스(주),케이엠컬쳐㈜","(주)쇼박스","12세이상관람가","멜로/로맨스,코미디","김용화","김아중"
"타짜",2006-09-28,36181314700,3.5,36181314700,5685521,5685521,492,76884,"한국","(주)싸이더스,(주)영화사참","CJ ENM","18세관람가","드라마","최동훈","조승우"
"투사부일체",2006-01-19,31959686000,3.1,31959686000,5074314,5074314,407,54339,"한국","(주)시네마제니스","CJ ENM","15세관람가","코미디","김동원","정준호"
"한반도",2006-07-13,20597497600,2,20597497600,3331593,3331593,483,49539,"한국","(주)시네마서비스글로벌","CJ ENM","15세관람가","드라마,액션","강우석","조재현"
"그놈 목소리",2007-02-01,17598617600,1.7,17598617600,2972299,2972299,498,48673,"한국","영화사 집","CJ ENM","12세이상관람가","드라마,스릴러","박진표","설경구"
"식객",2007-11-01,18972140500,1.9,18972140500,2963196,2963196,406,67138,"한국","쇼이스트(주)","CJ ENM","12세이상관람가","드라마","전윤수","김강우"
"가문의 부활 - 가문의 영광3",2006-09-21,15996330400,1.6,15996330400,2598859,2598859,444,51434,"한국","(주)태원엔터테인먼트","(주)쇼박스","15세관람가","코미디","정용기","신현준"
"1번가의 기적",2007-02-14,15494034100,1.5,15494034100,2535431,2535431,340,54562,"한국","(주)두사부필름","CJ ENM","15세이상관람가","드라마,코미디","윤제균","하지원"
"우리들의 행복한 시간",2006-09-14,14938458000,1.5,14938458000,2472060,2472060,414,47300,"한국","(주)엘제이필름,상상필름(주)","(주)프라임엔터테인먼트","15세관람가","드라마","송해성","강동원"
"음란서생",2006-02-23,14944528700,1.5,14944528700,2304365,2304365,347,38964,"한국","(주)영화사비단길","CJ ENM","18세관람가","사극,코미디","김대우","한석규"
"바르게 살자",2007-10-18,13944930000,1.4,13944930000,2135606,2135606,372,55993,"한국","필름있수다","CJ ENM","15세이상관람가","코미디,드라마","라희찬","정재영"
"극락도 살인사건",2007-04-12,13328932000,1.3,13328932000,2079989,2079989,368,54098,"한국","(주)두엔터테인먼트","(주)엠케이픽처스 ,(주)두엔터테인먼트","15세이상관람가","공포(호러),미스터리,스릴러","김한민","박해일"
"달콤, 살벌한 연인",2006-04-06,13426707100,1.3,13426707100,2077590,2077590,246,38034,"한국","(주)싸이더스,(주)MBC씨앤아이","CJ ENM","18세관람가","스릴러,멜로/로맨스","손재곤","박용우"
"세븐 데이즈",2007-11-14,13642111000,1.3,13642111000,2036035,2036035,305,46693,"한국","(주)영화사윤앤준","(주)프라임엔터테인먼트","청소년관람불가","스릴러,범죄","원신연","김윤진"
"사랑",2007-09-19,13446137500,1.3,13446137500,2023174,2023174,381,54789,"한국","(주)진인사필름,(주)태원엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","멜로/로맨스,액션","곽경택","주진모"
"맨발의 기봉이",2006-04-26,12239242400,1.2,12239242400,2005180,2005180,271,39975,"한국","(주)태원엔터테인먼트","(주)쇼박스","전체관람가","드라마,코미디,가족","권수경","신현준"
"비열한 거리",2006-06-15,11664597600,1.1,11664597600,1829887,1829887,306,34066,"한국","(주)싸이더스","CJ ENM","18세관람가","액션,범죄,드라마","유하","조인성"
"사생결단",2006-04-27,10934307100,1.1,10934307100,1724709,1724709,288,33257,"한국","(주)엠케이픽처스","(주)씨제이이엔엠","18세관람가","액션","최호","류승범"
"바람피기 좋은 날",2007-02-08,10738188900,1,10738188900,1708973,1708973,372,39986,"한국","(주)아이필름홀딩스","(주)시네마서비스","청소년관람불가","드라마,멜로/로맨스,코미디","장문일","김혜수"
"색즉시공 시즌2",2007-12-12,11431876000,1.1,11431876000,1703097,1703097,390,31551,"한국","(주)두사부필름","CJ ENM","청소년관람불가","코미디","윤태윤","임창정"
"구세주",2006-02-16,10087308700,1,10087308700,1621131,1621131,206,31939,"한국","㈜익영영화","쇼이스트(주)","15세관람가","코미디,액션,멜로/로맨스","김정우","최성국"
"라디오 스타",2006-09-28,9860797500,1,9860797500,1590685,1590685,244,38934,"한국","(주)영화사아침,(주)씨네월드","(주)시네마서비스","12세관람가","드라마","이준익","박중훈"
"청춘만화",2006-03-23,9785168000,1,9785168000,1567514,1567514,298,32939,"한국","㈜팝콘필름","(주)쇼박스","12세관람가","코미디,멜로/로맨스","이한","권상우"
"흡혈형사 나도열",2006-02-09,9693558300,0.9,9693558300,1563579,1563579,243,30494,"한국","영화사청어람(주),(주)에스엠필름","(주)쇼박스","15세관람가","코미디,드라마","이시명","김수로"
"권순분여사 납치사건",2007-09-12,9807862000,1,9807862000,1514708,1514708,397,46725,"한국","(주)어나더썬데이,㈜감독의집","(주)시네마서비스","15세이상관람가","코미디","김상진","김서현"
"복면달호",2007-02-14,9008143000,0.9,9008143000,1507970,1507970,310,41977,"한국","(주)인앤인픽쳐스,㈜스튜디오이쩜영","㈜스튜디오이쩜영","12세이상관람가","코미디,드라마","김상찬,김현수","차태현"
"조폭마누라3",2006-12-28,8851336500,0.9,8851336500,1468191,1468191,372,28923,"한국",NA,"(주)쇼박스","15세이상관람가","액션,코미디","조진규","최령"
"거룩한 계보",2006-10-19,8759204600,0.9,8759204600,1433696,1433696,372,32113,"한국","(주)시네마서비스글로벌","CJ ENM","15세관람가","드라마,액션","장진","정재영"
"중천",2006-12-21,8581442100,0.8,8581442100,1421412,1421412,402,31853,"한국","(주)나비픽처스","CJ ENM","12세이상관람가","액션,드라마,판타지","조동오","정우성"
"마파도2",2007-01-18,8362778700,0.8,8362778700,1407141,1407141,340,30784,"한국","코리아 엔터테인먼트","CJ ENM","12세이상관람가","코미디","이상훈","김수미"
"궁녀",2007-10-18,9038167500,0.9,9038167500,1358883,1358883,368,42096,"한국","(주)영화사아침","(주)시네마서비스","청소년관람불가","미스터리,스릴러","김미정","박진희"
"검은 집",2007-06-21,8841047700,0.9,8841047700,1321947,1321947,332,39830,"한국","CJ ENM,가도카와헤럴드픽쳐스","CJ ENM","청소년관람불가","스릴러,미스터리,공포(호러)","신태라","김혜정"
"해바라기",2006-11-23,7835485400,0.8,7835485400,1305024,1305024,246,31879,"한국","아이비젼엔터테인먼트(주)","(주)쇼박스","15세이상관람가","액션,드라마,가족,범죄","강석범","김원진"
"허브",2007-01-11,7652767000,0.7,7652767000,1304662,1304662,267,30263,"한국","케이엠컬쳐㈜","(주)쇼박스","12세이상관람가","드라마","허인무","강혜정"
"각설탕",2006-08-10,7631785700,0.7,7631785700,1265508,1265508,228,25009,"한국","(주)싸이더스","CJ ENM","전체관람가","드라마","이환경","임수정"
"홀리데이",2006-01-19,7885116000,0.8,7885116000,1257399,1257399,170,22092,"한국","(주)현진씨네마","롯데쇼핑㈜롯데엔터테인먼트","18세관람가","드라마,스릴러,범죄","양윤호","이성재"
"만남의 광장",2007-08-15,7819284000,0.8,7819284000,1211528,1211528,256,28301,"한국","(주)씨와이필름","(주)쇼박스","12세이상관람가","코미디","김종진","임창정"
"즐거운 인생",2007-09-13,7872688500,0.8,7872688500,1202351,1202351,322,39402,"한국","(주)영화사아침","CJ ENM","전체관람가","드라마","이준익","김상호"
"황진이",2007-06-06,7763374000,0.8,7763374000,1191683,1191683,456,39064,"한국","(주)씨네이천,(주)씨즈엔터테인먼트","(주)시네마서비스","15세이상관람가","드라마,멜로/로맨스","장윤현","송혜교"
"최강로맨스",2007-01-25,6931136500,0.7,6931136500,1190703,1190703,253,26656,"한국","㈜더드림앤드픽쳐스,(주)디알엠엔터테인먼트","(주)쇼박스","15세이상관람가","멜로/로맨스,코미디","김정우","이동욱"
"못말리는 결혼",2007-05-10,7712339500,0.8,7712339500,1188326,1188326,299,34518,"한국","(주)컬처캡미디어,엠넷미디어","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","김성욱","김수미"
"이장과 군수",2007-03-29,7594186000,0.7,7594186000,1179661,1179661,315,35021,"한국","(주)싸이더스","CJ ENM","12세이상관람가","코미디","장규성","차승원"
"행복",2007-10-03,7737073000,0.8,7737073000,1174401,1174401,332,35498,"한국","라이필름,영화사 집","(주)쇼박스","15세이상관람가","드라마,멜로/로맨스","허진호","황정민"
"싸움의 기술",2006-01-05,7319284000,0.7,7331140000,1144866,1146463,216,23068,"한국","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","신한솔","백윤식"
"지금 사랑하는 사람과 살고 있습니까?",2007-08-15,7004500500,0.7,7004500500,1042923,1042923,291,26158,"한국","(주)씨네이천","(주)시네마서비스","청소년관람불가","드라마,멜로/로맨스","정윤수","박용우"
"짝패",2006-05-25,6585332300,0.6,6585332300,1021631,1021631,210,24404,"한국","(주)외유내강","CJ ENM","18세관람가","액션","류승완","김효선"
"우아한 세계",2007-04-05,6161685500,0.6,6161685500,960658,960658,405,35849,"한국","(주)루씨필름","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","한재림","송강호"
"아랑",2006-06-28,5726173700,0.6,5726173700,951834,951834,181,22805,"한국","㈜더드림앤드픽쳐스,(주)디알엠엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","공포(호러)","안상훈","송윤아"
"김관장 대 김관장 대 김관장",2007-02-08,5575404600,0.5,5575404600,925661,925661,355,27825,"한국","(주)태원엔터테인먼트","(주)쇼박스","15세이상관람가","코미디","박성균","권오중"
"데이지",2006-03-09,5754065300,0.6,5754065300,911420,911420,299,23767,"한국","(주)아이필름홀딩스,베이직픽쳐스","(주)쇼박스","15세관람가","멜로/로맨스","유위강","전지현"
"마이 파더",2007-09-06,5641848000,0.6,5641848000,901055,901055,342,31444,"한국","시네라인투(주),시네라인㈜인네트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,가족","황동혁","김영철"
"상사부일체",2007-09-19,5807823500,0.6,5807823500,883965,883965,313,28902,"한국","(주)두손시네마","이십세기폭스코리아(주)","15세이상관람가","코미디,액션","심승보","손창민"
"야수",2006-01-12,5339725500,0.5,5339725500,837011,837011,299,19254,"한국","㈜팝콘필름","(주)쇼박스","18세관람가","액션","김성수","최령"
"마음이...",2006-10-26,4639709300,0.5,4639709300,817939,817939,239,24141,"한국","(주)화인웍스","(주)쇼박스","전체관람가","드라마","오달균,박은형","유승호"
"내 사랑",2007-12-18,5227269000,0.5,5227269000,800568,800568,240,15522,"한국","(주)오죤필름","(주)쇼박스","12세이상관람가","멜로/로맨스,드라마","이한","감우성"
"올드미스다이어리",2006-12-21,4750247000,0.5,4750247000,800083,800083,179,17481,"한국","(주)싸이더스,청년필름(주)","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","김석윤","예지원"
"예의없는 것들",2006-08-24,4886772800,0.5,4886772800,782907,782907,192,17807,"한국","튜브픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","18세관람가","액션,코미디","박철희","신하균"
"방과후 옥상",2006-03-16,4817252500,0.5,4817252500,773042,773042,173,20063,"한국","씨네온엔터테인먼트(주)","(주)시네마서비스","15세관람가","코미디","이석훈","봉태규"
"두 얼굴의 여친",2007-09-13,4586849000,0.4,4586849000,700417,700417,382,28772,"한국","(주)화인웍스","(주)쇼박스","15세이상관람가","멜로/로맨스,코미디","이석훈","봉태규"
"Mr.로빈 꼬시기",2006-12-07,3990360200,0.4,3990360200,680241,680241,301,20110,"한국","(주)싸이더스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김상우","엄정화"
"싸이보그지만 괜찮아",2006-12-07,3983748800,0.4,3983748800,676533,676533,289,18922,"한국","(주)모호필름","CJ ENM","12세이상관람가","SF,멜로/로맨스,판타지","박찬욱","임수정"
"리턴",2007-08-08,4271290500,0.4,4271290500,641734,641734,235,15185,"한국","(주)아름다운영화사,로터스필름(주)","CJ ENM","청소년관람불가","미스터리,스릴러","이규만","김명민"
"여교수의 은밀한 매력",2006-03-16,3926917300,0.4,3926917300,606398,606398,203,16021,"한국","엔젤언더그라운드(주),(주)엠케이픽처스","(주)엠케이픽처스","18세관람가","코미디","이하","문소리"
"가을로",2006-10-26,3653445400,0.4,3653445400,601733,601733,255,18905,"한국","㈜영화세상","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","멜로/로맨스,드라마","김대승","유지태"
"작업의 정석",2005-12-21,3822698100,0.4,11706585100,595700,1853623,203,12969,"한국","영화사청어람(주)","(주)쇼박스","15세관람가","코미디","오기환","손예진"
"천하장사 마돈나",2006-08-31,3552058700,0.3,3552058700,575315,575315,172,16269,"한국","(주)싸이더스,반짝반짝영화사(주)","CJ ENM","15세관람가","드라마,코미디","이해영,이해준","류덕환"
"해부학 교실",2007-07-11,3627352500,0.4,3627352500,574302,574302,232,16774,"한국","영화사청어람(주),(주)에그필름","영화사청어람(주)","15세이상관람가","공포(호러),스릴러","손태웅","한지민"
"연애, 그 참을 수 없는 가벼움",2006-09-07,3611679500,0.4,3611679500,565843,565843,203,15706,"한국","(주)굿플레이어","CJ ENM","18세관람가","멜로/로맨스,드라마","김해곤","장진영"
"백만장자의 첫사랑",2006-02-09,3375971500,0.3,3375971500,563023,563023,208,15040,"한국","(주)에스씨에스엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","멜로/로맨스,코미디","김태균","현빈"
"신데렐라",2006-08-17,3334168500,0.3,3334168500,555582,555582,181,14364,"한국","(주)미니필름","(주)쇼박스","15세관람가","공포(호러)","봉만대","도지원"
"스승의 은혜",2006-08-03,3474239000,0.3,3474239000,550215,550215,156,12244,"한국","(주)오죤필름,(주)화인웍스","쇼이스트(주)","18세관람가","공포(호러)","임대웅","서영희"
"아파트",2006-07-06,3460497800,0.3,3460497800,540539,540539,204,17115,"한국","(주)토일렛픽쳐스","(주)쇼박스","18세관람가","공포(호러)","안병기","고소영"
"용의주도 미스신",2007-12-18,3461836500,0.3,3461836500,537645,537645,225,13040,"한국","(주)로드픽쳐스,(주)싸이더스","(주)싸이더스","15세이상관람가","멜로/로맨스,코미디","박용집","한예슬"
"동갑내기 과외하기 레슨 2",2007-04-19,3309177500,0.3,3309177500,514669,514669,262,19504,"한국","(주)프라임엔터테인먼트","CJ ENM","12세이상관람가","코미디,멜로/로맨스","지길웅,김호정","이청아"
"사랑방 선수와 어머니",2007-08-08,3286151000,0.3,3286151000,509235,509235,267,19700,"한국","(주)태원엔터테인먼트,(주)아이비픽쳐스,(주)올리브나인","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","임영성","정준호"
"애정결핍이 두 남자에게 미치는 영향",2006-11-16,2928135400,0.3,2928135400,499612,499612,247,18626,"한국","투모로우엔터테인먼트,아이러브시네마","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","김성훈","백윤식"
"다세포소녀",2006-08-10,2862468600,0.3,2862468600,476724,476724,199,12552,"한국","㈜영화세상","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","코미디,멜로/로맨스","이재용","이종환"
"사랑을 놓치다",2006-01-26,2961381000,0.3,2961381000,468184,468184,146,10662,"한국","(주)시네마서비스","(주)시네마서비스","15세관람가","멜로/로맨스,드라마","추창민","설경구"
"열혈남아",2006-11-09,2834514800,0.3,2834514800,466046,466046,218,16399,"한국","(주)싸이더스","CJ ENM","15세관람가","드라마,범죄,액션","이정범","설경구"
"호로비츠를 위하여",2006-05-25,2813074600,0.3,2813074600,462623,462623,206,13560,"한국","(주)싸이더스","(주)쇼박스","전체관람가","드라마","권형진","엄정화"
"천년여우 여우비",2007-01-25,2494565500,0.2,2494565500,460514,460514,117,9860,"한국","선우애니메이션,(주)옐로우필름","CJ ENM","전체관람가","애니메이션,가족,판타지","이성강","손예진"
"아들",2007-05-01,2886902500,0.3,2886902500,452209,452209,284,23228,"한국","필름있수다,(주)시네마서비스글로벌","(주)시네마서비스","전체관람가","드라마,가족","장진","차승원"
"내 생애 최악의 남자",2007-08-30,2877614000,0.3,2877614000,438009,438009,260,18112,"한국","(주)씨케이픽쳐스","CJ ENM","15세이상관람가","드라마,멜로/로맨스","손현희,손현희","탁재훈"
"태풍",2005-12-14,2837117700,0.3,22209675300,436064,3471150,211,10477,"한국","CJ ENM","CJ ENM","15세관람가","드라마,액션","곽경택","김혜정"
"플라이 대디",2006-08-03,2560456300,0.3,2560456300,431231,431231,220,12531,"한국","(주)다인필름","(주)시네마서비스,CJ ENM","12세관람가","드라마","최종태","이준기"
"사랑 따윈 필요 없어",2006-11-09,2564487300,0.3,2564487300,425358,425358,274,15178,"한국","(주)싸이더스,판커뮤니케이션,씨네클릭 아시아(팬텀)","(주)쇼박스","15세관람가","멜로/로맨스,드라마","이철하","문근영"
"원탁의 천사",2006-08-24,2355829200,0.2,2355829200,401662,401662,179,12742,"한국","(주)시네마제니스","(주)쇼박스","15세관람가","코미디,판타지","권성국","하동훈"
"아이스케키",2006-08-24,2246093000,0.2,2246093000,392808,392808,189,13162,"한국","(주)엠케이픽처스","(주)엠케이픽처스","전체관람가","드라마","여인광","신애라"
"날아라 허동구",2007-04-26,2333597000,0.2,2333597000,378161,378161,260,18712,"한국","(주)타이거픽쳐스","(주)쇼박스","전체관람가","가족,드라마","박규태","권오중"
"로망스",2006-03-16,2376146100,0.2,2376146100,371700,371700,173,13304,"한국","(주)엘제이필름","CJ ENM","18세관람가","멜로/로맨스","문승욱","조재현"
"우리 동네",2007-11-29,2463752000,0.2,2463752000,364912,364912,231,17217,"한국","(주)오브젝트필름","CJ ENM,(주)시네마서비스","청소년관람불가","스릴러,범죄","정길영","류덕환"
"도마뱀",2006-04-27,2307824200,0.2,2307824200,364848,364848,253,13919,"한국","(주)영화사아침","(주)시네마서비스","12세관람가","멜로/로맨스,드라마","강지은","강혜정"
"모노폴리",2006-06-01,2195709100,0.2,2195709100,358299,358299,136,11297,"한국","한맥영화(주)","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","범죄","이항배","강지훈"
"누가 그녀와 잤을까?",2006-11-16,2068632100,0.2,2068632100,353360,353360,212,14953,"한국","(주)태원엔터테인먼트","CJ ENM","15세이상관람가","코미디","김유성","김사랑"
"전설의 고향",2007-05-23,2246522500,0.2,2246522500,352513,352513,201,14970,"한국","윈텍필름(주)","(주)프라임엔터테인먼트","12세이상관람가","공포(호러)","김지환","박신혜"
"잔혹한 출근",2006-11-02,2076522300,0.2,2076522300,348508,348508,240,13124,"한국","㈜게이트픽쳐스","CJ ENM","15세관람가","코미디,범죄","김태윤","김수로"
"싸움",2007-12-12,2188552500,0.2,2188552500,340979,340979,345,15053,"한국","(주)시네마서비스,상상필름(주)","(주)시네마서비스","15세이상관람가","멜로/로맨스,코미디","한지승","설경구"
"뚝방전설",2006-09-07,2132943200,0.2,2132943200,338737,338737,180,13465,"한국","(주)싸이더스","(주)쇼박스","18세관람가","액션,코미디","조범구","박건형"
"열한번째 엄마",2007-11-29,2069922500,0.2,2069922500,337700,337700,227,16284,"한국","(주)씨스타픽쳐스,몽마루","(주)쇼박스","12세이상관람가","드라마","김진성","김혜수"
"쏜다",2007-03-14,1945217400,0.2,1945217400,328837,328837,236,16901,"한국","시오필름(주)","(주)쇼박스","15세이상관람가","코미디","박정우","감우성"
"강적",2006-06-22,1956841000,0.2,1956841000,318142,318142,235,12049,"한국","(주)미로비젼","(주)쇼박스","15세관람가","액션,드라마","조민호","박중훈"
"좋지 아니한가",2007-03-01,1849140000,0.2,1849140000,306470,306470,173,12811,"한국","(주)무사이필름","(주)시네마서비스,CJ ENM","15세이상관람가","드라마,코미디","정윤철","천호진"
"어깨 너머의 연인",2007-10-18,1974664500,0.2,1974664500,295394,295394,213,17394,"한국","어뮤즈,(주)싸이더스","(주)쇼박스","청소년관람불가","드라마,멜로/로맨스","이언희","이미연"
"스카우트",2007-11-14,1899688000,0.2,1899688000,292440,292440,323,18895,"한국","㈜두루미필름","CJ ENM","12세이상관람가","드라마,코미디","김현석","임창정"
