"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"웰컴 투 동막골",2005-08-04,40328508500,40328508500,6436508,6436508,356,72108,"필름있수다,(주)쇼박스","(주)쇼박스","12세관람가","전쟁,드라마","박광현","신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희,하성광"
"가문의 위기(가문의 영광2)",2005-09-07,28622355500,28622355500,4529876,4529876,351,61009,"(주)태원엔터테인먼트","(주)쇼박스","15세관람가","코미디","정용기","신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이"
"말아톤",2005-01-27,26284943000,26284943000,4196840,4196840,238,59493,"시네라인투(주)","(주)쇼박스","전체관람가","드라마","정윤철","조승우,김미숙,이진영,허자경,석명홍,정철우,이민숙,김장욱,전수지,정미선,정미영,김영아,이창헌,이기영,백성현,안내상,김도영,우기홍"
"공공의 적 2",2005-01-27,20091127000,20091127000,3134421,3134421,299,40642,"(주)시네마서비스","(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희"
"친절한 금자씨",2005-07-29,20483051393,20483051393,3119682,3119682,386,41438,"(주)모호필름","CJ ENM","18세관람가","스릴러","박찬욱","이영애,최민식,권예영,김시후,남일우,김병옥,오달수,이승신,김부선,라미란,고수희,최정우,송강호,김유정,강남미,이대연,최희진,이병준,이용녀,차순배,박명신"
"태풍",2005-12-14,19372557600,19372557600,3035086,3035086,481,36678,"CJ ENM","CJ ENM","15세관람가","드라마,액션","곽경택","김혜정,김원진,이정재,이미연,추현경,장동건,허욱,신성일,김형찬,홍의정,김이호,나수원,박태호,김경환,김상용,민성주,민지환,박광설,유승권,박병렬,김철준,이주헌,이성근,최일화,박찬영,데이비드 맥기니스,손병욱,조운"
"너는 내 운명",2005-09-23,17653752500,17653752500,2701230,2701230,306,46667,"(주)영화사봄","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원"
"마파도",2005-03-10,16751202503,16751202503,2636857,2636857,178,49473,"코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","추창민","김수미,여운계,이정진,이문식,오달수,유해진,홍성훈,최주현,김보리,유인수,김종보,이종윤,서영희,정은표,길해연,정대용,김상호,김정영"
"태극기 휘날리며",2004-02-05,15687429500,15687429500,2544986,2544986,115,22376,"강제규필름","(주)다자인소프트,(주)쇼박스","15세관람가","전쟁,드라마","강제규","장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
"내 생애 가장 아름다운 일주일",2005-10-07,14710541000,14710541000,2290709,2290709,296,41056,"(주)두사부필름,(주)수필름","CJ ENM","15세관람가","멜로/로맨스","민규동","황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수"
"박수칠 때 떠나라",2005-08-11,13181626500,13181626500,2073641,2073641,237,32149,"(주)어나더썬데이","(주)시네마서비스","15세관람가","드라마,코미디,미스터리","장진","차승원,신하균,이재용,김지수,박정아,박은주,조정진,인정주,정규수,임미연,정영호,윤진호,이태상,이해영,이형곤,정동환,장소연,장영남,이철민,이한위,황정민"
"광식이 동생 광태",2005-11-23,12808604009,12808604009,2024424,2024424,276,35674,"(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁,봉태규,이요원,김아중,정경호,최은정,민도기,김성훈,김효주,김형민,유정민,박선민,이대연,박철민"
"혈의 누",2005-05-04,12367486506,12367486506,1926592,1926592,264,35167,"(주)싸이더스,(주)좋은영화","(주)시네마서비스","18세관람가","스릴러","김대승","차승원,박용우,지성,윤세아,최종원,박철민,유해진,박충선,장석원,서상원,임종윤,정진오,천호진,오현경,권태원,김기천"
"내 머리 속의 지우개",2004-11-05,11919939500,11919939500,1885827,1885827,206,29532,"(주)싸이더스","CJ ENM","12세관람가","멜로/로맨스","이재한","정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
"귀신이 산다",2004-09-17,11898748500,11898748500,1875936,1875936,174,27936,"(주)시네마서비스","(주)시네마서비스","12세관람가","코미디,공포(호러),판타지","김상진","김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
"댄서의 순정",2005-04-28,11674131000,11674131000,1856759,1856759,240,36482,"(주)컬처캡미디어","쇼이스트(주)","12세관람가","드라마","박영훈","박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기"
"우리 형",2004-10-08,11090682500,11090682500,1778607,1778607,211,29282,"(주)진인사필름","CJ ENM","15세관람가","드라마","안권태","원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
"실미도",2003-12-24,9905232500,10923920500,1559134,1719165,51,13460,"(주)시네마서비스","(주)시네마서비스","15세관람가","전쟁","강우석","설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
"잠복근무",2005-03-17,9590415500,9590415500,1533175,1533175,214,32266,"(주)마인엔터테인먼트 ,시리우스픽쳐스(주)","(주)쇼박스","15세관람가","코미디,액션","박광춘","김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식"
"연애의 목적",2005-06-10,9846423390,9846423390,1524898,1524898,243,29871,"(주)싸이더스","CJ ENM","18세관람가","드라마,코미디,멜로/로맨스","한재림","강혜정,박해일,이대연,박그리나,이현정,박준명,박혜영,김기형,장준영,이은숙,박진우,서영화,우기홍,김자영"
"주먹이 운다(Crying Fist)",2005-04-01,9322812000,9322812000,1462972,1462972,249,32964,"(주)브라보엔터테인먼트,시오필름(주)","쇼이스트(주)","15세관람가","드라마","류승완","최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천"
"바람의 파이터",2004-08-12,9158945500,9158945500,1442299,1442299,110,15895,"아이비젼엔터테인먼트(주)","영화사청어람(주)","12세관람가","액션","양윤호","양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔,염혜란,한이진"
"야수와 미녀",2005-10-27,8378297000,8378297000,1339833,1339833,202,29101,"시오필름(주)","(주)쇼박스","12세관람가","코미디","이계벽","류승범,신민아,김강우,허명행,손정민,송민석,김원중,조주현,안성진,서승억,차재선,박근석,박대희,윤종신,이홍표,권성환,최인경,김주일,이정필,김병옥,함은정,안길강,유다인"
"간 큰 가족",2005-06-09,8212961893,8212961893,1305518,1305518,247,31517,"(주)두사부필름","(주)쇼박스","12세관람가","코미디","조명남","감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희,최교식,정희태,오창경"
"내 여자친구를 소개합니다",2004-06-03,8329341500,8329341500,1298666,1298666,185,19289,"(주)아이필름홀딩스","CJ ENM,아이러브시네마","15세관람가","멜로/로맨스,드라마","곽재용","전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원"
"늑대의 유혹",2004-07-22,8025959500,8025959500,1297296,1297296,123,12777,"(주)싸이더스","(주)쇼박스","12세관람가","드라마","김태균","강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희"
"가족",2004-09-03,8051239500,8051239500,1270581,1270581,104,25473,"튜브픽쳐스(주)","(주)튜브엔터테인먼트","15세관람가","드라마","이정철","수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환"
"시실리 2km",2004-08-13,8049487000,8049487000,1263196,1263196,86,16919,"한맥영화(주)","(주)쇼박스","15세관람가","코미디","신정원","권오중,김윤석,임은경,임창정,주진모,최원석,정소연,이재민,변희봉,우현,신이,박명신,최원영"
"작업의 정석",2005-12-21,7883887000,7883887000,1257923,1257923,260,15454,"영화사청어람(주)","(주)쇼박스","15세관람가","코미디","오기환","손예진,송일국,김애경,박용우,안선영,박준규,신주연,신준하,서민희,고재욱,윤영준,정민호,박준규,우현,금보라,강두,정성일"
"B형 남자친구",2005-02-03,7324579000,7324579000,1174581,1174581,167,20316,"(주)시네마제니스","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건,한지혜,김꽃비,김정우,강기화,최석주,최성은,이진환,이현진,김준수,이용주,김해곤,박현영,신이"
"달콤한 인생",2005-04-01,7230710500,7230710500,1112277,1112277,265,30655,"(주)영화사봄","CJ ENM","18세관람가","액션","김지운","이병헌,김영철,신민아,김뢰하,이기영,오달수,진구,정유미,허명행,손정민,김효현,양강연,홍은미,박종민,서정희,윤정섭,윤진율,정원경,박성규,박성균,전혜민,이안규,오유진,박진우,하용진,전국환,김해곤,황정민,문정혁,곽민호,이승호,이한솔"
"S 다이어리",2004-10-22,7024070500,7024070500,1098583,1098583,169,20150,"(주)아이필름홀딩스","CJ ENM,아이러브시네마","15세관람가","코미디","권종관","공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호"
"분홍신",2005-06-30,6768135000,6768135000,1072940,1072940,182,22227,"청년필름(주),씨네클릭 아시아(팬텀),아이앤코스모스(주)시네와이즈필름","(주)쇼박스","15세관람가","공포(호러)","김용균","김혜수,김성수,박연아,송보경,박선혜,최윤영,윤혜정,이대현,김용화,고수희,이얼,조덕제,박현영,이용녀,박지은"
"알포인트",2004-08-20,6792339000,6792339000,1068087,1068087,100,15833,"씨앤필름(주)","(주)시네마서비스","15세관람가","전쟁","공수창","감우성,손병호,박원상,오태경,이선균,손진호,문영동,정경호,김병철,기주봉,신진우,최차남,황성진,조현수,이동운,한종훈,곽성훈,이호용,정용훈,이수성,양희선,이은혜,김완식,오현수,안내상"
"미스터 소크라테스",2005-11-10,6765653000,6765653000,1066103,1066103,205,22921,"㈜커리지필름,(주)오죤필름","롯데쇼핑㈜롯데엔터테인먼트","18세관람가","액션","최진원","김래원,강신일,이종혁,윤태영,박성웅,정욱,이주호,성기완,임종궁,윤서현,오일용"
"주홍글씨",2004-10-29,6648786000,6648786000,1030259,1030259,190,18777,"(주)엘제이필름","(주)쇼박스","18세관람가","스릴러,멜로/로맨스","변혁","성현아,한석규,이은주,변혁,엄지원,김중기,정인기"
"역도산",2004-12-15,6482309500,6482309500,1018369,1018369,223,17468,"(주)싸이더스,㈜싸이더스픽쳐스","CJ ENM","12세관람가","드라마","송해성","설경구,이명수,유병훈"
"연애술사",2005-05-20,6383653500,6383653500,1014372,1014372,155,23610,"㈜필름지","CJ ENM","15세관람가","멜로/로맨스,코미디","천세환","연정훈,박진희,김용훈,최은주,박용식,정혜정,신경은,신솔,신은비,최지연,박주영,한민지,강윤주,문지영,최미정,장민희,박상우,최성욱,박세준,우명희,엄미선,양희철,김진상,김영은,이종구,심형탁,하동훈,최여진,최원영,김지석"
"파송송 계란탁",2005-02-18,6292855500,6292855500,1003026,1003026,155,21505,"(주)굿플레이어","CJ ENM","15세관람가","코미디","오상훈","이인성,최무인,임창정,현경선,김량진,안희성,김혜란,신용극,김은자,최태춘,황지애,정필주,박혜원,임지혜,한명식,고영광,기은아,김가연,사공회,사공회,류진화,김경규,이솔지,김나미,이주민,오상훈,오상훈,이덕희,이재명,김우성,이정청,맹상훈,이금희,지대한,전국환,엄수정,정희태,심이영"
"어린 신부",2004-04-02,6240174500,6240174500,991674,991674,70,12895,"(주)컬처캡미디어","코리아픽쳐스(주)","12세관람가","코미디","김호준","김래원,김보경,안선영,문근영,진경,김혜옥,김인문,한진희,송기윤,선우은숙,신세경,최장헌,박준석,박진우,유순일,임관우,장미희,김용환,류덕환,전원주,윤서현"
"범죄의 재구성",2004-04-15,6133033000,6133033000,942236,942236,73,11398,"(주)싸이더스","(주)쇼박스","18세관람가","스릴러","최동훈","김윤석,박신양,주진모,염정아,이기철,백윤식,이문식,천호진,박원상,김상호,성소원,송현정,한지선,서종해,김선태,이호원,박세환,오형진,이경헌,이인성,이현정,임하룡,정석원,윤다경,조희봉,김기천,손병욱"
"천군",2005-07-15,5852391000,5852391000,933147,933147,186,18850,"(주)싸이더스","(주)쇼박스","15세관람가","액션","민준기","박중훈,최경원,황정민,김승우,공효진,김응수,박완규,신선영,안희철,조용식,안미정,김병선,이동석,서의석,차상민,민준기,박병권,김승철,김용,김태엽,김수용,권일수,김병춘,김수현,이한솔,원근희,오일용"
"안녕, 형아",2005-05-27,5614875500,5614875500,924019,924019,158,24235,"(주)명필름","(주)시네마서비스","전체관람가","드라마","임태형","박원상,양현우,최우혁,배종옥,박지빈,강남미,정혜숙,손선아,김득호,김은자,조준형,김보은,임영신,박소현,김진숙,이항,서범식,최진호,오지혜"
"형사 Duelist",2005-09-08,5840528000,5840528000,920947,920947,292,22217,"웰메이드엔터테인먼트","코리아픽쳐스(주)","12세관람가","멜로/로맨스,액션","이명세","강동원,안성기,하지원,장민,함성원,이동렬,이상태,김성언,박민석,장민영,박세환,박승호,김신용,이응재,송영창,김준배,김보연,서동수,윤주상,박명신,박수영,변상윤"
"새드무비",2005-10-20,5628200500,5628200500,902077,902077,262,21670,"(주)아이필름홀딩스","롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마","12세관람가","드라마","권종관","신민아,염정아,임수정,정우성,차태현,조성현,김유경,심지연,조태현,윤석진,오용택,전경주,윤현진,이정룡,김우철,임근아,이기우,안길강,최종률,조영규,권유준"
"그때 그 사람들",2005-02-03,5777895500,5777895500,890601,890601,140,16471,"(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","미스터리,코미디","임상수","한석규,백윤식,송재호,김응수,조상건,권병길,정원중,조은지,김윤아,김상호,윤여정,김윤아,최호진,남윤수,조희진,김병철,김현아,김경목,조민수,서정훈,김대욱,김대욱,김권군,김기원,이병선,김원준,김형일,최동훈,유상희,홍록기,김성욱,이희재,박상현,박상현,임성암,박성규,이수미,박신규,이현석,정우,김병옥,조재윤,양동명,조덕제,권태원,지우,정인기,정종준,김기천,이정민"
"남극일기",2005-05-19,5478113500,5478113500,871235,871235,244,18655,"(주)미로비젼,㈜싸이더스픽쳐스","(주)쇼박스","15세관람가","스릴러","임필성","박희순,박선주,유지태,송강호,안병근,임성민,최덕문,윤제문,오희준"
"여선생 VS 여제자",2004-11-17,5265267506,5265267506,846683,846683,182,20960,"(주)좋은영화","CJ ENM","15세관람가","코미디","장규성","김응수,이지영,이지훈,이세영,염정아,정형민,김혜경,황경애,최란,오은석,최윤정,이정헌,이원종,변희봉,신현종,김정영,전국향,최정인"
"오로라 공주",2005-10-27,5365343000,5365343000,830538,830538,185,20738,"(주)이스트필름","(주)시네마서비스","18세관람가","범죄,스릴러","방은진","엄정화,문성근,권오중,김선화,최종원,장영진,임예숙,박성빈,김연재,강봉성,박병은,김용건,이대연,박효준,정은표,정만식,박광정"
"강력 3반",2005-09-29,5053205500,5053205500,828112,828112,174,19950,"(주)씨네넷","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","액션","손희창","김민준,허준호,남상미,김광일,김정태,김응수,강경덕,김태환,박규선,유혜진,윤영민,정재욱,박상면,장항선,남문철,조성하,이미은,윤지혜,김태훈,조영규"
"몽정기2",2005-01-14,5110555000,5110555000,813164,813164,147,15130,"(주)엠케이픽처스","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","코미디","정초신","이지훈,김지영,전혜빈,박준규,김해숙,조경진,조아라,박주영,박혜리,이동하,문수정,진현주,김근호,이효군,이희원,윤선미,윤성호,최상훈,정다미,정다정,박상욱,박상운,윤지희,권병주,박슬기,이윤진,김은정,김수웅,송은채,박길수,정동환"
"아라한 장풍대작전",2004-04-30,5207905000,5207905000,810406,810406,82,12593,"(주)싸이더스","(주)시네마서비스","12세관람가","액션,드라마","류승완","류승범,윤소이,안성기,김수현,김지영,허명행,김효선,심재원,도영훈,이무룡,윤도현,장혁진,정두홍,권승구,이춘영,임하룡,유순철,이대연,안길강,윤주상,권범택"
"내 남자의 로맨스",2004-07-16,4895975500,4895975500,765720,765720,102,9658,"메이필름(주)","CJ ENM","12세관람가","드라마","박제현","김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태"
"효자동 이발사",2004-05-05,4855872900,4855872900,748380,748380,83,10745,"영화사청어람(주)","(주)쇼박스","15세관람가","드라마","임찬상","문소리,송강호,주진모,이재응,오달수,노형욱,류승수,정세인,김민석,최한철,채성민,민봉기,손병호,박길수,조영진,정대용,윤주상,김경룡,최홍일,최교식,오창경"
"아는 여자",2004-06-25,4686251500,4686251500,736319,736319,81,10950,"필름있수다","(주)시네마서비스","15세관람가","드라마","장진","이나영,정재영,이재용,이민정,이상민,조은정,지상용,이은석,김준혁,임하룡,조덕현,장영남,이철민,최일화"
"왕의 남자",2005-12-29,4409503500,4409503500,719782,719782,259,4994,"(주)씨네월드,(주)이글픽쳐스","(주)시네마서비스","15세이상관람가","드라마","이준익","감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,윤준식,박성호,김주홍,이정민,김윤정,장항선,정석용,신정근,우현,정대용,최일화,윤주상"
"달마야, 서울 가자",2004-07-09,4469579500,4469579500,703507,703507,128,10918,"(주)타이거픽쳐스,(주)씨네월드","(주)시네마서비스","15세관람가","코미디","육상효","김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호"
"이대로, 죽을 순 없다(Short Time)",2005-08-18,4266661500,4266661500,679352,679352,164,16389,"(주)매쉬필름","쇼이스트(주)","12세관람가","코미디","이영은","이범수,최성국,손현주,류용진,추자현,이진영,유해진,조민기,박정배,황조윤,박찬우,김대형,김부현,임미숙,최영찬,류태호,오정세,오지혜,박충선"
"외출",2005-09-07,4376240500,4376240500,678786,678786,244,21684,"블루스톰(주)","쇼이스트(주)","18세관람가","멜로/로맨스","허진호","배용준,손예진,김광일,류승수,이한위,전국환,유승목,곽수정,주부진"
"신부수업",2004-08-05,4255753000,4255753000,675521,675521,113,9931,"기획시대(주)","코리아픽쳐스(주)","12세관람가","드라마,멜로/로맨스","허인무","하지원,권상우,김도형,오대환,김유나,김선화,김인권,김인문,김미연,진이한,남진호,김도현,박경숙,이상현,김순옥,김지나,박효준,김일우,천우희,홍인"
"나의 결혼원정기",2005-11-23,3860195500,3860195500,632553,632553,237,17814,"튜브픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","드라마","황병국","정재영,수애,유준상,김응수,김지영,정혜영,임찬익,주용재,채수린,장준희,박길수,권태원,김비비"
"슈퍼스타 감사용",2004-09-17,4073017000,4073017000,627199,627199,128,15185,"(주)싸이더스","CJ ENM","전체관람가","드라마","김종현","이범수,공유,윤진서,하정우,이명수,이혁재,송민규,이대희,정석원,김상현,최봉석,이성덕,김철용,예민정,이정준,정준하,장항선,장소연,이태성,박효주,조희봉,박충선,조원동,류승수,최대훈,박용우,이람,권유준"
"분신사바",2004-08-05,3828714000,3828714000,608479,608479,97,9877,"(주)소프트랜드 영상 사업부 에이포스트 픽쳐스","브에나비스타인터내셔널코리아","15세관람가","공포(호러)","안병기","김규리,이유리,이세은,최정윤,안성범,이경미,최성민,모지은,김경룡"
"말죽거리 잔혹사",2004-01-16,3837152000,3837152000,604969,604969,40,5513,"(주)싸이더스,㈜싸이더스픽쳐스","CJ ENM","15세관람가","액션,멜로/로맨스","유하","권상우,이정진,한가인,김인권,박효준,이종혁,백봉기,안내상,조진웅,김동영,강동수,이동연,김대성,이민구,조주연,민성주,김성문,최선중,전진우,김소라,김수민,박수영,정영민,정진모,우성,김정열,양종규,이광재,이진욱,이혜선,김병춘,한재영,천호진,김부선,권태원,서동원,백주희,박혁민"
"6월의 일기",2005-12-01,3645962000,3645962000,593867,593867,169,15245,"(주)필름앤픽쳐스","(주)쇼박스","15세관람가","드라마,범죄","임경수","신은경,이상기,김윤진,문정혁,김꽃비,맹세창,김경민,문준호,김지민,박현영,오정세,박혁민"
"투 가이즈",2004-07-09,3584851500,3584851500,568230,568230,93,8311,"(주)에스씨에스엔터테인먼트","쇼이스트(주)","15세관람가","코미디","박헌수","김성훈,차태현,박중훈,정환석,송남규,최정인,박한기,김병국,김경인,유소영,윤기호,김일환,정보름,이수나,김재훈,김창규,김용덕,한은정,이창용,박인환,지대한"
"령",2004-06-17,3554937000,3554937000,558807,558807,74,8781,"㈜팝콘필름","(주)쇼박스","12세관람가","공포(호러)","김태경,이인규","김하늘,신이,류진,남상미,이윤지,전혜빈,김근영,최은재,김해숙,기주봉"
"돈 텔 파파",2004-09-03,3481025000,3481025000,558745,558745,81,10664,"기획시대(주)","CJ ENM","15세관람가","코미디","이상훈","정웅인,유승호,채민서,이유진,천지윤,윤정,최우정,임호,이종수"
"누구나 비밀은 있다",2004-07-30,3529353500,3529353500,542955,542955,88,7650,"(주)태원엔터테인먼트","(주)시네마서비스","18세관람가","코미디,멜로/로맨스","장현수","김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이"
"무영검",2005-11-18,3306109500,3306109500,519721,519721,264,18140,"(주)태원엔터테인먼트","CJ ENM","12세관람가","액션","김영준","신현준,이서진,윤소이,조원희,황인성,전국환,박찬대,남지현,권오태,백지열,강영일,김서현,박수용,박성웅,정호빈,이한솔,김경룡"
"역전의 명수",2005-04-15,3222783000,3222783000,510290,510290,178,17754,"(주)태원엔터테인먼트,(주)시네마서비스","(주)시네마서비스","15세관람가","코미디","박흥식","정준호,윤소이,김응수,김혜나,박정수,최상훈,홍성민,신지용,박종진,윤수정,임대수,박상욱,오수민,임종길,이장현,박효준,윤문식,한기중,임왕태,정인기,김기천,오창경"
"꽃피는 봄이 오면",2004-09-23,3201626000,3201626000,497689,497689,117,11734,"(주)씨즈엔터테인먼트","영화사청어람(주)","12세관람가","드라마","류장하","최민식,장신영,김호정,김강우,김동영,이민아,조명호,최태규,김기철,김길웅,이동진,김경준,박소윤,김정석,김영옥,이재응,이민아,엄효섭,최일화"
"가발",2005-08-12,2816190000,2816190000,448161,448161,145,10156,"코리아 엔터테인먼트","CJ ENM","15세관람가","공포(호러)","원신연","방중현,채민서,유선,류현민,서현선,이윤희,진용욱"
"키다리 아저씨",2005-01-14,2789824500,2789824500,440850,440850,121,11270,"웰메이드엔터테인먼트,(주)유빈픽쳐스","CJ ENM","12세관람가","드라마","공정식","하지원,연정훈,신이,김정난,정준하,손민경,조원경,권태근,변민지,강혜림,김부현,김덕진,민병훈,윤여송,정영주,양혜선,금보라,박은혜,현빈,오대규,정민성"
"목포는 항구다",2004-02-20,2673832500,2673832500,425725,425725,25,6239,"기획시대(주)","코리아픽쳐스(주)","15세관람가","드라마,코미디","김지훈","김윤태,차인표,조재현,김현정,송선미,박원서,방선진,문양식,김선애,유은아,이선규,장국환,임도기,정영호,이예은,조덕현,손병호,최덕문,이한위,김일우,기주봉,정경호,정상훈,권혁호,권태원,정인기,정희태,서병철"
"여고괴담 4 : 목소리",2005-07-15,2474641500,2474641500,397327,397327,167,12931,"(주)씨네이천","(주)시네마서비스","15세관람가","공포(호러)","최익환","김옥빈,서지혜,추현경,윤영,박윤경,이은,홍지현,최혜윤,황현경,황현경,우제현,인정은,임샛별,최수연,차예련,김정영,원애리"
"그놈은 멋있었다",2004-07-22,2309055500,2309055500,372591,372591,77,5425,"엘티 픽쳐스","프라임픽쳐스","15세관람가","코미디","이환경","송승헌,김지혜,정다빈,이기우,이민혁,김효성,박정률,나수원,이동윤,김경록,곽동학,박민아,박성희,우성,이대일,이유명,정우,이환경,정준하,김보연,남궁은숙"
"사랑해, 말순씨",2005-11-03,2191787000,2191787000,349118,349118,170,12364,"블루스톰(주)","쇼이스트(주)","12세관람가","드라마","박흥식","김동영,이재응,문소리,김은영,강경섭,손봉기,허명행,최준,안하영,하지원,조현철,문성해,김대홍,유승우,김인혁,전승훈,윤여준,임대환,박상원,정용욱,정승규,이상협,이준석,김종찬,이한위,김봉근,신동환,정다빈,이칸희,박명신,전수지"
"얼굴 없는 미녀",2004-08-06,2228765000,2228765000,346015,346015,72,5594,"(주)아이필름홀딩스","CJ ENM,아이러브시네마","18세관람가","스릴러","김인식","김혜수,김태우,한정수,김영애,김무령,윤희현,김형석,안성현,채은석,박보연,정지환,정인기,조운"
"미스터 주부퀴즈왕",2005-09-30,2106892000,2106892000,337772,337772,180,11295,"폴스타엔터테인먼트","(주)쇼박스","12세관람가","코미디","유선동","공형진,김영애,한석규,이주현,신은경,조윤성,천진호,이화선,박미정,전현우,오승환,염현희,황석정,이주현,손범수,조은지,김태훈,최정인,김기천"
"그녀를 믿지 마세요",2004-02-20,1859615500,1859615500,298221,298221,25,4664,"㈜영화사시선","(주)시네마서비스","12세관람가","코미디","배형준","강동원,김용선,진경,김지영,김하늘,김은영,송재호,임하룡,최연수,김창수,최유선,이안나,이미은,류태호,권태원,홍인,이영은"
"내사랑 싸가지",2004-01-16,1836153500,1836153500,296125,296125,22,2967,"제이웰엔터테인먼트(주),(주)포이보스","(주)시네마서비스","12세관람가","코미디","신동엽","김재원,진태현,하지원,김지훈,한민,강정호,김상혁,유현호,최용준,김용건,김민경,김창완,임혁필"
"신석기 블루스",2004-12-30,1797632500,1797632500,282552,282552,99,7678,"㈜팝콘필름","(주)쇼박스","15세관람가","코미디","김도혁","김현주,이종혁,이민아,이성재,남현,허정규,김인태,박보영,김지성,최진호,김창완,옥지영,이승호,신이,성기윤,원애리,정민성,김기천,남정희"
